Company Common Name,Date,Source,RIC,Headline,Exchange Name,TRBC Economic Sector Name,CUSIP,Attack,Data Breach,Software Breach,Cyber breach,Social breach,Ransomware,Shutdown,Twitter breach,Facebook breach,Stolen Funds,Mitigation,ticker,exchange,Date_day
Forward Air Corp,2020-12-21 18:59:55,RTRS,FWRD.O,BRIEF-Forward Air Corp Says All Company's Terminals And Facilities Are Operational - Reuters News,unknown,Industrials,34985310,Ransomware,,,,,1.0,,,,,,FWRD,O,2020-12-21
GSE Systems Inc,2022-09-02 15:58:00,RTRS,GVP.O,"Ransomware group BlackCat behind Italy's GSE hacking, researchers say",unknown,Technology,36227K10,Ransomware,1.0,,,,1.0,,,,,,GVP,O,2022-09-02
Gilead Sciences Inc,2020-05-08 13:17:57,RTRS,GILD.O,EXCLUSIVE-Iran-linked hackers recently targeted coronavirus drugmaker Gilead -sources,unknown,Healthcare,37555810,Code-vulnerability,,,1.0,,,,,,,,GILD,O,2020-05-08
Groupon Inc,2012-11-18 19:00:00,RTRS,GRPN.O,Pro-Palestinian hackers shut down Groupon Israel site,unknown,Consumer Cyclicals,39947320,Shutdown,,,,,,1.0,,,,,GRPN,O,2012-11-18
Groupon Inc,2016-12-22 09:52:00,EVESTA,GRPN.O,Groupon users lose hundreds of pounds after fraudsters target customers in account hack,unknown,Consumer Cyclicals,39947320,Stolen Funds,,,,,,,,,1.0,,GRPN,O,2016-12-22
H World Group Ltd,2018-08-29 01:14:20,XINHUN,HTHT.O,Shanghai police investigate massive data breach of NASDAQ-listed hotel group,unknown,Consumer Cyclicals,44332N10,Data-breach,1.0,,,,,,,,,,HTHT,O,2018-08-29
Hino Motors Ltd,2022-02-28 05:43:12,RTRS,7205.T,"BRIEF-Japan's Hino Motors, Daihatsu To Also Suspend Work At Factories On March 1 After Cyberattack On Toyota Supplier -Nikkei",TOKYO STOCK EXCHANGE,Consumer Cyclicals,43340610,Supply-Chain,,,,,,1.0,,,,,7205,T,2022-02-28
Honeywell International Inc,2023-09-15 11:54:06,GNW,HON.O,Lynch Carpenter Investigates Claims in Honeywell Data Breach,unknown,Consumer Non-Cyclicals,43851610,Data-breach,1.0,,,,,,,,,,HON,O,2023-09-15
IBW Financial Corp,2022-11-22 18:20:32,PRN,IBWC.PK,IBW Financial Corporation Provides Notice of Data Event,OTC MARKETS,Financials,44893920,Data-breach,1.0,,,,,,,,,,IBWC,PK,2022-11-22
IPG Photonics Corp,2020-09-18 13:09:00,RTRS,IPGP.O,"BRIEF-Ipg Photonics Corp Says Detected A Ransomware Attack Impacting Certain Of Its Operational, Information Technology Systems",unknown,Technology,44980X10,Ransomware,,,,,1.0,1.0,,,,,IPGP,O,2020-09-18
